Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
brickitybrick,https://substack.com/@brickitybrick,2700,,https://instagram.com/brickitybrick.cooks,https://tiktok.com/@brickitybrick.cooks,,,,,,,,,,2026-01-22 01:48:24,Bestseller
jkbjournalist,https://substack.com/@jkbjournalist,0,,,https://tiktok.com/@jkbjournalist,,,,,,https://bsky.app/profile/jkbjournalist,,,,2026-01-22 01:48:24,Bestseller
blaircoooley,https://substack.com/@blaircoooley,3800,,https://instagram.com/blaircoooley,,,,,,,,,,https://blaircooks.com/,2026-01-22 01:48:24,Bestseller
scstrategist,https://substack.com/@scstrategist,3900,https://twitter.com/SCapStrategist,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
manuinvests,https://substack.com/@manuinvests,1900,https://twitter.com/ManuInvests,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
thedchuddle,https://substack.com/@thedchuddle,1400,https://twitter.com/TheDCHuddle,,,,,https://www.youtube.com/channel/UCsIz1hTIkNDa9CmK6QfVWJw,,,,,,https://www.thedchuddle.com/?utm_campaign=profile_chips,2026-01-22 01:48:24,Bestseller
anniefdowns,https://substack.com/@anniefdowns,6100,,,,,,,,,,,,https://www.anniefdowns.com/,2026-01-22 01:48:24,Bestseller
umairhaque,https://substack.com/@umairhaque,2900,https://twitter.com/umairh,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
amymacdonald1,https://substack.com/@amymacdonald1,1900,,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
hotgirlwalkofficial,https://substack.com/@hotgirlwalkofficial,44000,,https://instagram.com/mia__lind,https://tiktok.com/@mia__lind,,,,,,,,,,2026-01-22 01:48:24,Bestseller
naomialderman,https://substack.com/@naomialderman,2800,,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
benedicteburguet,https://substack.com/@benedicteburguet,1300,,https://instagram.com/benedicteburguet,,,,,,,,,,https://benedicte-burguet.com/,2026-01-22 01:48:24,Bestseller
aaywhoosh,https://substack.com/@aaywhoosh,405,,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
petalandhearth,https://substack.com/@petalandhearth,10000,,https://instagram.com/oliviawickstrom,,,,,,,,,,https://www.oliviawickstrom.com/,2026-01-22 01:48:24,Bestseller
samillingworth,https://substack.com/@samillingworth,6300,,,,https://www.linkedin.com/in/samillingworth,,,,,,,,https://www.samillingworth.com/,2026-01-22 01:48:24,Bestseller
privatemarketsnews,https://substack.com/@privatemarketsnews,21000,,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
macronotes,https://substack.com/@macronotes,60000,,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
amysheppardfood,https://substack.com/@amysheppardfood,9900,,https://instagram.com/amysheppardfood,https://tiktok.com/@amysheppardfood,,,,,,,,,,2026-01-22 01:48:24,Bestseller
sykocrypto,https://substack.com/@sykocrypto,881,https://twitter.com/sykodelic_,,,,,,,,,,,,2026-01-22 01:48:24,Bestseller
clemishere,https://substack.com/@clemishere,640,,,,,,,,,,,,https://clemchambers.com/,2026-01-22 01:48:24,Bestseller
rowanhogg,https://substack.com/@rowanhogg,970,,,,,,https://www.youtube.com/@RowanHogg,,,,,,https://rowansfinancialastrology.com/?utm_campaign=profile_chips,2026-01-22 01:48:24,Bestseller
alexupstarts,https://substack.com/@alexupstarts,0,,,,,,,,,,,,https://www.upstartsmedia.com/?utm_campaign=profile_chips,2026-01-22 01:51:30,Technology
semianalysis,https://substack.com/@semianalysis,222000,https://twitter.com/dylan522p,,,,,,,,,,,https://newsletter.semianalysis.com/?utm_campaign=profile_chips,2026-01-22 01:51:30,Technology
techspresso,https://substack.com/@techspresso,4400,https://twitter.com/GosiaFraser,,,,,,,,,,,https://techspresso.cafe,2026-01-22 01:51:31,Technology
mlearning,https://substack.com/@mlearning,11000,,https://instagram.com/datasculptor,,,,,https://linktr.ee/datasculptor,,,,,,2026-01-22 01:51:31,Technology
xiangyuyeung,https://substack.com/@xiangyuyeung,50000,,,,,,,,,,,,https://www.aireport.email/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
